Incident Report Number,Crime Type,Date,Time,LOCATION_TYPE,ADDRESS,LONGITUDE,LATITUDE,Location 1
20152480294,CRIMINAL MISCHIEF,09/05/2015,250,,11100 BLOCK N IH 35 SVRD NB,,,
20155007270,THEFT,02/19/2015,1722,,8300 BLOCK N FM 620 RD,,,
2015891187,VIOL STATE LAW - OTHER,03/30/2015,1737,,6300 BLOCK BERKMAN DR,,,
20152450784,BURGLARY OF RESIDENCE,09/02/2015,1150,,11600 BLOCK MARY HARGROVE LN,,,
20155045214,THEFT,10/10/2015,1842,,2800 BLOCK BARTON SPRINGS RD,,,
20155025023,FRAUD - OTHER,05/28/2015,1530,,3900 BLOCK TODD LN,,,
2015231203,FRAUD - OTHER,01/15/2015,1748,,8400 BLOCK MAUAI DR,,,
20155008093,THEFT OF SERVICE,01/18/2015,0,,800 BLOCK E WILLIAM CANNON DR,,,
20155042840,LOST PROP,09/23/2015,1430,,100 BLOCK W SLAUGHTER LN,,,
20153320644,BURGLARY OF RESIDENCE,11/28/2015,0,,8500 BLOCK S IH 35 SVRD NB,,,
20151641317,DISTURBANCE - OTHER,06/13/2015,1716,,1500 BLOCK W WILLIAM CANNON DR,,,
20155025270,THEFT OF BICYCLE,06/11/2015,900,,7800 BLOCK LA CROSSE AVE,,,
2015570782,THEFT,02/26/2015,1607,,2900 BLOCK S CAPITAL OF TEXAS HWY NB,,,
20155053970,THEFT BY SHOPLIFTING,12/10/2015,1605,,2300 BLOCK W BEN WHITE BLVD SVRD WB,,,
2015640491,CRIMINAL MISCHIEF,03/04/2015,1930,,100 BLOCK FREDERICK ST,,,
20151930718,BURG NON RESIDENCE SHEDS,07/11/2015,2330,,2900 BLOCK CLEARVIEW DR,,,
20151841809,BURGLARY OF RESIDENCE,07/03/2015,2208,,5500 BLOCK PONCIANA DR,,,
2015121344,THEFT BY SHOPLIFTING,01/12/2015,1839,,2400 BLOCK S CONGRESS AVE,,,
20155019066,THEFT,05/04/2015,723,,4200 BLOCK TODD LN,,,
20151201726,BURGLARY OF RESIDENCE,04/30/2015,2233,,7400 BLOCK WEST GATE BLVD,,,
2015571309,THEFT,02/26/2015,1810,,5000 BLOCK W US 290 HWY EB,,,
20155047650,THEFT,10/05/2015,1036,,2300 BLOCK E WILLIAM CANNON DR,,,
20152800356,BURGLARY OF RESIDENCE,10/07/2015,934,,2600 BLOCK ALCOTT LN,,,
20155002137,THEFT BY SHOPLIFTING,01/16/2015,1115,,6900 BLOCK BRODIE LN,,,
20155003970,THEFT OF SERVICE,11/01/2014,1338,,9900 BLOCK S IH 35 SB,,,
20155001185,FRAUD - OTHER,01/03/2015,1000,,2300 BLOCK E WILLIAM CANNON DR,,,
20153110958,BURGLARY OF RESIDENCE,11/07/2015,130,,2500 BLOCK KINNEY RD,,,
20152581210,BURGLARY OF RESIDENCE,09/14/2015,2100,,1300 BLOCK RADAM CIR,,,
20151261088,BURGLARY OF RESIDENCE,05/06/2015,1444,,2500 BLOCK PALO VERDE DR,,,
20155044461,VIOL CITY ORDINANCE - WRECKER,10/07/2015,1730,,N MOPAC NB TO 35TH RAMP / W 35TH ST,-97.75589051,30.30873363,
20151880250,AGG ROBBERY/DEADLY WEAPON,07/07/2015,445,,2800 BLOCK LYONS RD,,,
20155040818,DEL CONTROLLED SUB/NARCOTIC,09/15/2015,2208,,6500 BLOCK BLUFF SPRINGS RD,,,
20153411047,CHILD ABUSE INFORMATION,12/07/2015,1731,,2100 BLOCK WICKERSHAM LN,,,
20155023465,SUSPICIOUS PERSON,06/01/2015,1030,,7900 BLOCK GREAT NORTHERN BLVD,,,
